Subsidiary,Company_Name,Raw_Coal_Production_MT,Production_Target_MT,Achievement_Pct,Reporting_Year,Source_Portal
MCL,Mahanadi Coalfields Limited,193.30,176.00,109.83,2023,https://tn.data.gov.in/resource/subsidiary-wise-details-raw-coal-production-and-revenue-operations-mining-activities-coal
SECL,South Eastern Coalfields Limited,167.00,182.00,91.76,2023,https://tn.data.gov.in/resource/subsidiary-wise-details-raw-coal-production-and-revenue-operations-mining-activities-coal
NCL,Northern Coalfields Limited,131.17,122.00,107.52,2023,https://tn.data.gov.in/resource/subsidiary-wise-details-raw-coal-production-and-revenue-operations-mining-activities-coal
CCL,Central Coalfields Limited,76.09,76.00,100.12,2023,https://tn.data.gov.in/resource/subsidiary-wise-details-raw-coal-production-and-revenue-operations-mining-activities-coal
WCL,Western Coalfields Limited,64.28,62.00,103.68,2023,https://tn.data.gov.in/resource/subsidiary-wise-details-raw-coal-production-and-revenue-operations-mining-activities-coal
ECL,Eastern Coalfields Limited,35.02,50.00,70.04,2023,https://tn.data.gov.in/resource/subsidiary-wise-details-raw-coal-production-and-revenue-operations-mining-activities-coal
BCCL,Bharat Coking Coal Limited,35.50,32.00,110.94,2023,https://tn.data.gov.in/resource/subsidiary-wise-details-raw-coal-production-and-revenue-operations-mining-activities-coal
