Subsidiary,Company_Name,Raw_Coal_Production_MT,Coal_Offtake_Dispatch_MT,Overburden_Removal_MCum,Reporting_Period,Source_Portal
MCL,Mahanadi Coalfields Limited,206.01,198.45,230.12,FY 2023-24,https://apps.coalindia.in/ords/f?p=139:1:3080458328317
SECL,South Eastern Coalfields Limited,187.33,181.20,255.40,FY 2023-24,https://apps.coalindia.in/ords/f?p=139:1:3080458328317
NCL,Northern Coalfields Limited,136.15,133.80,410.50,FY 2023-24,https://apps.coalindia.in/ords/f?p=139:1:3080458328317
CCL,Central Coalfields Limited,86.10,82.50,120.30,FY 2023-24,https://apps.coalindia.in/ords/f?p=139:1:3080458328317
WCL,Western Coalfields Limited,69.05,65.40,185.00,FY 2023-24,https://apps.coalindia.in/ords/f?p=139:1:3080458328317
ECL,Eastern Coalfields Limited,47.55,45.10,145.20,FY 2023-24,https://apps.coalindia.in/ords/f?p=139:1:3080458328317
BCCL,Bharat Coking Coal Limited,41.12,38.90,170.80,FY 2023-24,https://apps.coalindia.in/ords/f?p=139:1:3080458328317
